"state","state_ab","county","county_ab","fips","county_name","year","tot_pop","med_hh_inc","estabs","emp","tot_hh_18","tot_hh_no_int_18","tot_hh_brdbnd_18","unemployment_pct","in_st_hq","branches","depsumbr"
"Alabama","AL","Autauga","AU",1001,"Autauga, Alabama",2018,54509,58786,802,11378,21115,16651,13086,3.6,8.0,16.0,583319.0
"Alabama","AL","Baldwin","BA",1003,"Baldwin, Alabama",2018,206023,55962,4984,64853,78622,61424,45004,3.6,36.0,89.0,4258005.0
"Alabama","AL","Barbour","BR",1005,"Barbour, Alabama",2018,25469,34186,436,6995,9186,5548,3568,5.1,8.0,12.0,428984.0
"Alabama","AL","Bibb","BI",1007,"Bibb, Alabama",2018,22112,45340,273,3473,6840,4521,2286,3.9,6.0,7.0,179560.0
"Alabama","AL","Blount","BL",1009,"Blount, Alabama",2018,57144,48695,645,6643,20600,14103,10190,3.5,12.0,13.0,609456.0
"Alabama","AL","Bullock","BU",1011,"Bullock, Alabama",2018,10333,32152,102,2073,3609,2124,1515,4.6,2.0,2.0,115039.0
"Alabama","AL","Butler","BT",1013,"Butler, Alabama",2018,19869,39109,402,6162,6708,4169,2974,4.7,2.0,9.0,284588.0
"Alabama","AL","Calhoun","CA",1015,"Calhoun, Alabama",2018,113469,45197,2179,36541,45033,32866,24977,4.6,22.0,32.0,1886661.0
"Alabama","AL","Chambers","CH",1017,"Chambers, Alabama",2018,33558,39872,518,6898,13516,8985,6465,3.8,3.0,8.0,324957.0
"Alabama","AL","Cherokee","CE",1019,"Cherokee, Alabama",2018,25572,41014,334,4424,10606,7271,4609,3.5,7.0,7.0,280798.0
"Alabama","AL","Chilton","CI",1021,"Chilton, Alabama",2018,43484,45182,707,7842,16751,10357,6519,3.6,8.0,11.0,361244.0
"Alabama","AL","Choctaw","CO",1023,"Choctaw, Alabama",2018,12958,34884,245,2973,5350,3118,2171,5.4,5.0,5.0,209349.0
"Alabama","AL","Clarke","CL",1025,"Clarke, Alabama",2018,24214,36127,550,6406,9358,4977,3043,7.4,13.0,15.0,565429.0
"Alabama","AL","Clay","CY",1027,"Clay, Alabama",2018,13272,41225,179,3585,5236,3570,2186,3.8,3.0,5.0,203030.0
"Alabama","AL","Cleburne","CB",1029,"Cleburne, Alabama",2018,14868,40188,161,1699,5726,3459,1898,4.2,4.0,5.0,183296.0
"Alabama","AL","Coffee","CF",1031,"Coffee, Alabama",2018,50870,53155,912,13723,19789,15347,11816,3.9,7.0,12.0,635916.0
"Alabama","AL","Colbert","CR",1033,"Colbert, Alabama",2018,53979,47558,1130,23536,21799,14868,10167,4.5,14.0,14.0,917933.0
"Alabama","AL","Conecuh","CN",1035,"Conecuh, Alabama",2018,12373,33177,194,2732,4574,2159,1058,5.1,2.0,3.0,110533.0
"Alabama","AL","Coosa","CS",1037,"Coosa, Alabama",2018,10774,38301,86,2975,4103,2640,1532,4.1,2.0,2.0,20253.0
"Alabama","AL","Covington","CV",1039,"Covington, Alabama",2018,36946,40601,760,10259,15008,10299,6418,4.5,8.0,13.0,768030.0
"Alabama","AL","Crenshaw","CW",1041,"Crenshaw, Alabama",2018,13749,39812,199,3036,5025,2997,2041,4.0,4.0,5.0,205885.0
"Alabama","AL","Cullman","CU",1043,"Cullman, Alabama",2018,81759,42558,1637,24891,30730,21488,14224,3.2,29.0,32.0,1767385.0
"Alabama","AL","Dale","DA",1045,"Dale, Alabama",2018,48567,45960,682,11441,18670,13610,10018,4.1,4.0,10.0,316574.0
"Alabama","AL","Dallas","DL",1047,"Dallas, Alabama",2018,39276,31602,663,9507,16336,10351,6817,6.4,5.0,10.0,468779.0
"Alabama","AL","DeKalb","DK",1049,"DeKalb, Alabama",2018,70262,39233,1034,18264,26132,17510,12693,3.8,26.0,26.0,910149.0
"Alabama","AL","Elmore","EL",1051,"Elmore, Alabama",2018,80312,59347,1093,14971,29143,23204,19120,3.4,11.0,23.0,868760.0
"Alabama","AL","Escambia","ES",1053,"Escambia, Alabama",2018,36865,35000,713,10069,13428,7688,3266,4.5,14.0,18.0,645650.0
"Alabama","AL","Etowah","ET",1055,"Etowah, Alabama",2018,101901,44023,1837,30302,38777,28479,22023,4.0,19.0,24.0,1152214.0
"Alabama","AL","Fayette","FA",1057,"Fayette, Alabama",2018,16372,37458,282,3198,6947,4785,3094,4.0,6.0,6.0,252465.0
"Alabama","AL","Franklin","FR",1059,"Franklin, Alabama",2018,31225,40459,481,12595,11210,6688,3688,3.7,17.0,17.0,577700.0
"Alabama","AL","Geneva","GE",1061,"Geneva, Alabama",2018,26204,38142,366,3868,10479,7006,4412,3.9,7.0,9.0,398515.0
"Alabama","AL","Greene","GR",1063,"Greene, Alabama",2018,8319,21804,92,1384,2955,1365,992,6.6,1.0,2.0,58704.0
