"state","state_ab","county","county_ab","fips","county_name","year","sm_ln_amt","med_ln_amt","lg_ln_amt","tot_pop","med_hh_inc","estabs","estabs_entry","estabs_exit"
"Alabama","AL","Autauga","AU",1001,"Autauga, Alabama",2010,4036000,4078000,6650000,52568,53255,820.0,74.0,77.0
"Alabama","AL","Autauga","AU",1001,"Autauga, Alabama",2011,5188000,1826000,4475000,53436,53899,788.0,59.0,88.0
"Alabama","AL","Autauga","AU",1001,"Autauga, Alabama",2012,6205000,2367000,13878000,54197,53773,783.0,64.0,65.0
"Alabama","AL","Autauga","AU",1001,"Autauga, Alabama",2013,6284000,2167000,11546000,54567,53682,777.0,56.0,58.0
"Alabama","AL","Autauga","AU",1001,"Autauga, Alabama",2014,6964000,2297000,8152000,54712,52475,774.0,56.0,57.0
"Alabama","AL","Autauga","AU",1001,"Autauga, Alabama",2015,6625000,1763000,4744000,54662,51281,791.0,71.0,53.0
"Alabama","AL","Autauga","AU",1001,"Autauga, Alabama",2016,6817000,3534000,5824000,54311,53099,803.0,68.0,52.0
"Alabama","AL","Autauga","AU",1001,"Autauga, Alabama",2017,6558000,3494000,4964000,54293,55317,809.0,67.0,60.0
"Alabama","AL","Autauga","AU",1001,"Autauga, Alabama",2018,7646000,2537000,7115000,54509,58786,802.0,58.0,63.0
"Alabama","AL","Baldwin","BA",1003,"Baldwin, Alabama",2010,36277000,23906000,81009000,173522,50147,4332.0,410.0,566.0
"Alabama","AL","Baldwin","BA",1003,"Baldwin, Alabama",2011,44235000,33735000,87119000,177221,51321,4357.0,480.0,438.0
"Alabama","AL","Baldwin","BA",1003,"Baldwin, Alabama",2012,49223000,33486000,109389000,180928,50706,4361.0,435.0,416.0
"Alabama","AL","Baldwin","BA",1003,"Baldwin, Alabama",2013,53297000,38401000,112905000,184905,50221,4443.0,473.0,379.0
"Alabama","AL","Baldwin","BA",1003,"Baldwin, Alabama",2014,52429000,31936000,93441000,188664,50183,4561.0,481.0,355.0
"Alabama","AL","Baldwin","BA",1003,"Baldwin, Alabama",2015,63940000,40200000,112214000,192790,50254,4717.0,525.0,355.0
"Alabama","AL","Baldwin","BA",1003,"Baldwin, Alabama",2016,71295000,39680000,107898000,197124,51365,4838.0,501.0,374.0
"Alabama","AL","Baldwin","BA",1003,"Baldwin, Alabama",2017,75556000,45562000,130331000,201089,52562,4894.0,488.0,421.0
"Alabama","AL","Baldwin","BA",1003,"Baldwin, Alabama",2018,84289000,52807000,155967000,206023,55962,4984.0,471.0,367.0
"Alabama","AL","Barbour","BR",1005,"Barbour, Alabama",2010,4023000,2273000,3521000,27230,33219,472.0,34.0,45.0
"Alabama","AL","Barbour","BR",1005,"Barbour, Alabama",2011,5092000,2365000,5643000,27117,34041,472.0,39.0,37.0
"Alabama","AL","Barbour","BR",1005,"Barbour, Alabama",2012,4600000,3001000,8072000,27113,31889,448.0,20.0,42.0
"Alabama","AL","Barbour","BR",1005,"Barbour, Alabama",2013,4118000,1544000,9955000,27021,32911,443.0,29.0,31.0
"Alabama","AL","Barbour","BR",1005,"Barbour, Alabama",2014,5410000,2218000,7690000,26834,35634,435.0,26.0,32.0
"Alabama","AL","Barbour","BR",1005,"Barbour, Alabama",2015,4238000,3139000,4221000,26692,32964,428.0,27.0,33.0
"Alabama","AL","Barbour","BR",1005,"Barbour, Alabama",2016,4329000,3731000,9030000,26332,33956,429.0,30.0,28.0
"Alabama","AL","Barbour","BR",1005,"Barbour, Alabama",2017,5394000,1811000,8115000,25925,33368,433.0,32.0,26.0
"Alabama","AL","Barbour","BR",1005,"Barbour, Alabama",2018,4963000,2497000,4632000,25469,34186,436.0,30.0,23.0
"Alabama","AL","Bibb","BI",1007,"Bibb, Alabama",2010,2115000,776000,1740000,22449,41770,276.0,23.0,36.0
"Alabama","AL","Bibb","BI",1007,"Bibb, Alabama",2011,1893000,411000,467000,22600,40506,262.0,15.0,23.0
"Alabama","AL","Bibb","BI",1007,"Bibb, Alabama",2012,2199000,700000,3231000,22570,36824,266.0,20.0,13.0
"Alabama","AL","Bibb","BI",1007,"Bibb, Alabama",2013,2829000,1545000,6319000,22557,36447,261.0,27.0,28.0
"Alabama","AL","Bibb","BI",1007,"Bibb, Alabama",2014,3274000,1453000,3497000,22446,37984,254.0,17.0,22.0
"Alabama","AL","Bibb","BI",1007,"Bibb, Alabama",2015,3476000,1004000,2947000,22359,38678,261.0,30.0,21.0
"Alabama","AL","Bibb","BI",1007,"Bibb, Alabama",2016,3054000,1391000,2890000,22349,39776,265.0,19.0,11.0
"Alabama","AL","Bibb","BI",1007,"Bibb, Alabama",2017,3242000,1148000,3105000,22224,43404,267.0,22.0,17.0
"Alabama","AL","Bibb","BI",1007,"Bibb, Alabama",2018,3436000,2369000,4655000,22112,45340,273.0,16.0,8.0
"Alabama","AL","Blount","BL",1009,"Blount, Alabama",2010,5442000,1641000,2275000,56071,45549,661.0,51.0,79.0
"Alabama","AL","Blount","BL",1009,"Blount, Alabama",2011,4642000,1461000,3609000,56552,45404,657.0,57.0,60.0
"Alabama","AL","Blount","BL",1009,"Blount, Alabama",2012,5102000,2648000,6073000,56897,45192,641.0,48.0,62.0
"Alabama","AL","Blount","BL",1009,"Blount, Alabama",2013,4933000,2191000,3563000,56983,44145,631.0,57.0,61.0
"Alabama","AL","Blount","BL",1009,"Blount, Alabama",2014,3690000,1908000,2187000,57022,44409,631.0,53.0,50.0
"Alabama","AL","Blount","BL",1009,"Blount, Alabama",2015,4459000,2454000,5019000,57157,45813,634.0,54.0,49.0
"Alabama","AL","Blount","BL",1009,"Blount, Alabama",2016,5421000,2223000,6004000,57199,46212,640.0,55.0,46.0
"Alabama","AL","Blount","BL",1009,"Blount, Alabama",2017,6006000,1665000,4072000,57088,47412,652.0,64.0,49.0
"Alabama","AL","Blount","BL",1009,"Blount, Alabama",2018,5661000,4166000,8057000,57144,48695,645.0,41.0,44.0
"Alabama","AL","Bullock","BU",1011,"Bullock, Alabama",2010,495000,440000,0,10792,31602,117.0,8.0,3.0
